Tue May 28 16:50:21 2019    DUMP.txt

         18561964 function calls (18334918 primitive calls) in 10.419 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 sre_parse.py:951(parse_template)
      482    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
     1929    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
     2405    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
      964    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
     1308    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      481    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
     2405    0.000    0.000    0.000    0.000 inspect.py:2519(default)
     1924    0.000    0.000    0.000    0.000 inspect.py:2527(kind)
      415    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
     1924    0.000    0.000    0.000    0.000 inspect.py:2523(annotation)
      481    0.000    0.000    0.000    0.000 __init__.py:105(initialize_soup)
      962    0.000    0.000    0.000    0.000 __init__.py:160(deprecated_argument)
      481    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      962    0.000    0.000    0.000    0.000 __init__.py:111(reset)
        5    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      481    0.000    0.000    0.000    0.000 inspect.py:2831(return_annotation)
        1    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
      481    0.000    0.000    0.000    0.000 pathlib.py:91(join_parsed_parts)
      962    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      481    0.000    0.000    0.000    0.000 inspect.py:2827(parameters)
      9/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
      170    0.000    0.000    0.000    0.000 element.py:1033(__setitem__)
        5    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
       17    0.000    0.000    0.000    0.000 porter.py:508(<lambda>)
      481    0.000    0.000    0.000    0.000 pathlib.py:912(is_absolute)
      481    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       59    0.000    0.000    0.000    0.000 element.py:67(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:809(__or__)
       12    0.000    0.000    0.000    0.000 __init__.py:310(_check_markup_is_url)
       45    0.000    0.000    0.000    0.000 sre_parse.py:960(addgroup)
        1    0.000    0.000    0.000    0.000 enum.py:772(_missing_)
        1    0.000    0.000    0.000    0.000 enum.py:779(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 data.py:344(open)
        1    0.000    0.000    0.000    0.000 compat.py:226(_decorator)
      135    0.000    0.000    0.000    0.000 porter.py:377(<lambda>)
        1    0.000    0.000    0.000    0.000 enum.py:851(_decompose)
        1    0.000    0.000    0.000    0.000 data.py:323(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1349(is_file)
        5    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.000    0.000 pathlib.py:1146(stat)
       27    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 enum.py:869(<listcomp>)
        4    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       36    0.000    0.000    0.000    0.000 __init__.py:325(<genexpr>)
      9/3    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       46    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        8    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        5    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        2    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       41    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:406(__subclasshook__)
       20    0.000    0.000    0.000    0.000 types.py:164(__get__)
        9    0.000    0.000    0.000    0.000 enum.py:886(_power_of_two)
        1    0.000    0.000    0.000    0.000 punkt.py:210(_re_sent_end_chars)
        1    0.000    0.000    0.000    0.000 ntpath.py:75(join)
        5    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 nturl2path.py:8(url2pathname)
        2    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        8    0.000    0.000    0.000    0.000 enum.py:834(_high_bit)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 enum.py:815(__and__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
